"Part";"Value";"Device";"Package";"Description";"AVAILABILITY";"CHECK_PRICES";"COPYRIGHT";"CREATED_BY";"DATASHEET";"DESCRIPTION";"DIGIKEY_PART_NUMBER";"MANUFACTURER";"MANUFACTURER_NAME";"MANUFACTURER_PART_NUMBER";"MAXIMUM_PACKAGE_HEIGHT";"MF";"MP";"MPN";"PACKAGE";"PARTREV";"PRICE";"PROD_ID";"PURCHASE-URL";"SNAPEDA_LINK";"STANDARD";
"P3";"282837-2";"282837-2";"TE_282837-2";"";"Good";"";"";"";"";"TERMINAL BLOCK 3.5MM 2POS PCB";"";"";"";"";"";"On Shore";"OSTTE020104";"";"None";"G3";"0.28 USD";"";"";"";"";
"P4";"282837-2";"282837-2";"TE_282837-2";"";"Good";"";"";"";"";"TERMINAL BLOCK 3.5MM 2POS PCB";"";"";"";"";"";"On Shore";"OSTTE020104";"";"None";"G3";"0.28 USD";"";"";"";"";
"P5";"282837-2";"282837-2";"TE_282837-2";"";"Good";"";"";"";"";"TERMINAL BLOCK 3.5MM 2POS PCB";"";"";"";"";"";"On Shore";"OSTTE020104";"";"None";"G3";"0.28 USD";"";"";"";"";
"Q3";"MOSFET-NCHANNELBSS138";"MOSFET-NCHANNELBSS138";"SOT23";"Common NMOSFET Parts";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"TRANS-00830";"";"";"";
"Q4";"MOSFET-NCHANNELBSS138";"MOSFET-NCHANNELBSS138";"SOT23";"Common NMOSFET Parts";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"TRANS-00830";"";"";"";
"R1";"10k";"RC-MASTER-SMD_R_0603MP";"RC-MASTER-SMD_R0603MP";"RESISTOR";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"R2";"10k";"RC-MASTER-SMD_R_0603MP";"RC-MASTER-SMD_R0603MP";"RESISTOR";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"R3";"10k";"RC-MASTER-SMD_R_0603MP";"RC-MASTER-SMD_R0603MP";"RESISTOR";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"R4";"10k";"RC-MASTER-SMD_R_0603MP";"RC-MASTER-SMD_R0603MP";"RESISTOR";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"R5";"10k";"RC-MASTER-SMD_R_0603MP";"RC-MASTER-SMD_R0603MP";"RESISTOR";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"R6";"10k";"RC-MASTER-SMD_R_0603MP";"RC-MASTER-SMD_R0603MP";"RESISTOR";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"R7";"10k";"RC-MASTER-SMD_R_0603MP";"RC-MASTER-SMD_R0603MP";"RESISTOR";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"R8";"1M";"RC-MASTER-SMD_R_0603MP";"RC-MASTER-SMD_R0603MP";"RESISTOR";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"R9";"10k";"RC-MASTER-SMD_R_0603MP";"RC-MASTER-SMD_R0603MP";"RESISTOR";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"R10";"1M";"RC-MASTER-SMD_R_0603MP";"RC-MASTER-SMD_R0603MP";"RESISTOR";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"R11";"100K";"RC-MASTER-SMD_R_0603MP";"RC-MASTER-SMD_R0603MP";"RESISTOR";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"R12";"33k";"RC-MASTER-SMD_R_0603MP";"RC-MASTER-SMD_R0603MP";"RESISTOR";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"R13";"10k";"RC-MASTER-SMD_R_0603MP";"RC-MASTER-SMD_R0603MP";"RESISTOR";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"R14";"90.9k";"RC-MASTER-SMD_R_0603MP";"RC-MASTER-SMD_R0603MP";"RESISTOR";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"R15";"10k";"RC-MASTER-SMD_R_0603MP";"RC-MASTER-SMD_R0603MP";"RESISTOR";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"U1";"FDS6630A";"FDS6630A";"SOIC127P600X175-8N";"";"";"";"";"";"";"";"";"ON SEMICONDUCTOR";"";"";"1.75 mm";"";"";"";"";"C1";"";"";"";"";"IPC 7351B";
"U2";"FDS6630A";"FDS6630A";"SOIC127P600X175-8N";"";"";"";"";"";"";"";"";"ON SEMICONDUCTOR";"";"";"1.75 mm";"";"";"";"";"C1";"";"";"";"";"IPC 7351B";
"U3";"MP2338GTL-ZSOT583_MP2338_MNP-L";"MP2338GTL-ZSOT583_MP2338_MNP-L";"SOT583_MP2338_MNP-L";"";"";"";"Copyright (C) 2026 Ultra Librarian. All rights reserved.";"";"https://www.monolithicpower.com/en/documentview/productdocument/index/version/2/document_type/Datasheet/lang/en/sku/MP2338GTL";"High-Efficiency 28V 3A 450kHz Synchronous Step-Down Converter In SOT583 Package";"";"";"Monolithic Power Systems";"MP2338GTL-Z";"";"";"";"";"";"";"";"";"";"";"";
